team,HL,HD,HW,AW,AD,AL,Div,W,L,D,points,home_points,away_points,country
Wolfsburg,1,5,1,1,3,2,D1,2,3,8,14,8,6,Germany
Ein Frankfurt,3,1,2,3,3,1,D1,5,4,4,19,7,12,Germany
Hamburg,3,1,3,1,0,5,D1,4,8,1,13,10,3,Germany
Dortmund,2,1,3,3,2,2,D1,6,4,3,21,10,11,Germany
Hannover,1,2,3,2,2,3,D1,5,4,4,19,11,8,Germany
Hertha,2,2,3,1,3,2,D1,4,4,5,17,11,6,Germany
Hoffenheim,1,3,3,2,2,2,D1,5,3,5,20,12,8,Germany
Leverkusen,0,3,3,2,2,3,D1,5,3,5,20,12,8,Germany
M'gladbach,2,1,4,3,2,1,D1,7,3,3,24,13,11,Germany
Mainz,2,1,4,0,2,4,D1,4,6,3,15,13,2,Germany
Freiburg,1,4,2,0,1,5,D1,2,6,5,11,10,1,Germany
RB Leipzig,0,1,5,3,1,3,D1,8,3,2,26,16,10,Germany
FC Koln,5,1,0,0,1,6,D1,0,11,2,2,1,1,Germany
Werder Bremen,4,1,1,0,4,3,D1,1,7,5,8,4,4,Germany
Bayern Munich,0,1,5,4,1,2,D1,9,2,2,29,16,13,Germany
Augsburg,2,2,3,2,2,2,D1,5,4,4,19,11,8,Germany
Schalke 04,1,2,4,3,1,2,D1,7,3,3,24,14,10,Germany
Stuttgart,0,1,5,0,1,6,D1,5,6,2,17,16,1,Germany
Newcastle,3,1,3,1,1,4,E0,4,7,2,14,10,4,England
West Brom,2,3,1,1,2,4,E0,2,6,5,11,6,5,England
Watford,2,2,2,4,1,2,E0,6,4,3,21,8,13,England
Tottenham,1,3,3,4,0,2,E0,7,3,3,24,12,12,England
Swansea,5,1,1,1,2,3,E0,2,8,3,9,4,5,England
Huddersfield,2,2,3,1,1,4,E0,4,6,3,15,11,4,England
Liverpool,0,3,4,2,2,2,E0,6,2,5,23,15,8,England
Stoke,2,2,2,1,2,4,E0,3,6,4,13,8,5,England
Man City,0,1,5,7,0,0,E0,12,0,1,37,16,21,England
Southampton,3,2,3,1,2,2,E0,4,5,4,16,11,5,England
West Ham,3,1,2,0,3,4,E0,2,7,4,10,7,3,England
Man United,0,0,7,2,2,2,E0,9,2,2,29,21,8,England
Leicester,3,1,2,1,4,2,E0,3,5,5,14,7,7,England
Crystal Palace,3,2,2,0,0,6,E0,2,9,2,8,8,0,England
Burnley,2,2,3,3,2,1,E0,6,3,4,22,11,11,England
Brighton,1,3,2,2,1,4,E0,4,5,4,16,9,7,England
Bournemouth,3,1,2,2,1,4,E0,4,7,2,14,7,7,England
Chelsea,2,1,3,5,1,1,E0,8,3,2,26,10,16,England
Arsenal,0,0,6,2,1,4,E0,8,4,1,25,18,7,England
Everton,3,0,3,0,3,4,E0,3,7,3,12,9,3,England
Monaco,1,1,5,4,1,2,F1,9,3,2,29,16,13,France
Metz,7,0,0,1,1,5,F1,1,12,1,4,0,4,France
Marseille,1,2,4,4,2,1,F1,8,2,4,28,14,14,France
Bordeaux,1,2,3,1,3,4,F1,4,5,5,17,11,6,France
Rennes,3,1,3,2,2,3,F1,5,6,3,18,10,8,France
Paris SG,0,0,7,5,2,0,F1,12,0,2,38,21,17,France
Caen,2,1,5,2,0,4,F1,7,6,1,22,16,6,France
Lyon,0,3,4,4,2,1,F1,8,1,5,29,15,14,France
Lille,3,2,2,1,1,5,F1,3,8,3,12,8,4,France
Montpellier,2,3,3,2,2,2,F1,5,4,5,20,12,8,France
Nantes,1,1,4,3,1,4,F1,7,5,2,23,13,10,France
Nice,4,1,3,1,1,4,F1,4,8,2,14,10,4,France
Troyes,3,2,3,2,1,3,F1,5,6,3,18,11,7,France
Amiens,2,1,3,2,2,4,F1,5,6,3,18,10,8,France
Angers,3,3,0,2,5,1,F1,2,4,8,14,3,11,France
St Etienne,2,3,3,2,1,3,F1,5,5,4,19,12,7,France
Strasbourg,2,2,2,1,3,4,F1,3,6,5,14,8,6,France
Guingamp,1,3,3,1,0,6,F1,4,7,3,15,12,3,France
Toulouse,1,2,3,1,2,5,F1,4,6,4,16,11,5,France
Dijon,3,1,4,1,2,3,F1,5,6,3,18,13,5,France
Verona,5,1,1,1,2,4,I1,2,9,3,9,4,5,Italy
Bologna,3,2,2,4,0,3,I1,6,6,2,20,8,12,Italy
Sampdoria,0,0,6,2,2,3,I1,8,3,2,26,18,8,Italy
Benevento,7,0,0,0,0,7,I1,0,14,0,0,0,0,Italy
Atalanta,1,2,5,0,2,4,I1,5,5,4,19,17,2,Italy
Torino,1,3,2,2,4,2,I1,4,3,7,19,9,10,Italy
Roma,2,0,5,5,1,0,I1,10,2,1,31,15,16,Italy
Spal,3,2,2,0,2,5,I1,2,8,4,10,8,2,Italy
Udinese,5,0,3,1,0,4,I1,4,9,0,12,9,3,Italy
Sassuolo,5,2,0,3,0,4,I1,3,9,2,11,2,9,Italy
Fiorentina,2,1,3,2,2,4,I1,5,6,3,18,10,8,Italy
Milan,2,2,3,3,0,4,I1,6,6,2,20,11,9,Italy
Genoa,5,2,0,2,2,3,I1,2,8,4,10,2,8,Italy
Cagliari,4,0,3,2,0,5,I1,5,9,0,15,9,6,Italy
Crotone,3,2,2,1,1,5,I1,3,8,3,12,8,4,Italy
Lazio,1,2,3,6,0,1,I1,9,2,2,29,11,18,Italy
Chievo,2,2,3,2,3,2,I1,5,4,5,20,11,9,Italy
Inter,0,1,6,5,2,0,I1,11,0,3,36,19,17,Italy
Juventus,1,0,7,4,1,1,I1,11,2,1,34,21,13,Italy
Napoli,0,1,5,7,1,0,I1,12,0,2,38,16,22,Italy
Espanol,2,1,4,0,3,3,SP1,4,5,4,16,13,3,Spain
Getafe,3,0,3,1,4,2,SP1,4,5,4,16,9,7,Spain
Villarreal,1,1,4,2,2,3,SP1,6,4,3,21,13,8,Spain
Girona,3,2,2,2,3,1,SP1,4,4,5,17,8,9,Spain
Valencia,0,2,5,4,2,0,SP1,9,0,4,31,17,14,Spain
Eibar,2,2,2,2,0,5,SP1,4,7,2,14,8,6,Spain
Ath Madrid,0,3,2,5,3,0,SP1,7,0,6,27,9,18,Spain
La Coruna,4,1,2,1,2,3,SP1,3,7,3,12,7,5,Spain
Barcelona,0,0,6,5,2,0,SP1,11,0,2,35,18,17,Spain
Las Palmas,5,0,1,1,1,5,SP1,2,10,1,7,3,4,Spain
Leganes,2,2,2,3,0,4,SP1,5,6,2,17,8,9,Spain
Sociedad,2,3,2,3,1,2,SP1,5,4,4,19,9,10,Spain
Sevilla,0,1,5,3,0,4,SP1,8,4,1,25,16,9,Spain
Betis,1,2,4,1,1,4,SP1,5,5,3,18,14,4,Spain
Levante,3,3,2,1,3,1,SP1,3,4,6,15,9,6,Spain
Celta,2,2,3,2,0,4,SP1,5,6,2,17,11,6,Spain
Malaga,3,1,2,0,0,7,SP1,2,10,1,7,7,0,Spain
Real Madrid,1,2,4,4,1,1,SP1,8,2,3,27,14,13,Spain
Ath Bilbao,2,2,2,1,2,4,SP1,3,6,4,13,8,5,Spain
Alaves,6,0,1,1,0,5,SP1,2,11,0,6,3,3,Spain
